article,first main,first talk,reason,comment
126th Cavalry Regiment (United States),20131217072632,20061019063151,unknown,
12th (Eastern) Infantry Division,20120927035129,20060428231213,unknown,
12th Indian Telly Awards,20121031194954,20120706185022,unknown,
131st Fighter Wing,20090719060643,20090617123600,unknown,
13256278887989457651018865901401704640,20070507150003,20070503023036,copyright,"content was: '<div style=""background-color: #eee; border: 1px solid #aa8; margin: 0.5em; padding: 0.5em;"" class=""plainlinks"">'''This {{#switch:{{NAMESPACE}}|Talk|C...' (and the only contributor was '[[Special:Contributions/Alabamaboy|Alabamaboy]]')"
133P/Elst–Pizarro,20100112063132,20080714084151,unknown,
139th Rifle Division,20121218034205,20091023130331,unknown,
13th/Juniper (SEPTA station),20110208173537,20060824033316,unknown,
14K Triad,20080820151639,20050401120056,unknown,
14th Militia Division (Germany),20070701143633,20061014143211,unknown,
1515 Slovene peasant revolt,20130216120935,20100112194106,unknown,
158 (number),20050917152520,20050825202703,unknown,
163693 Atira,20080323065300,20070122001316,unknown,
167th Motor Rifle Division (Soviet Union),20151128220905,20140429044109,unknown,
1688 Izmir earthquake,20130613210825,20100802224412,unknown,
16th Air Assault Brigade,20100207171733,20080611040657,unknown,
1729 (number),20040308111031,20040122003900,unknown,
173rd Airborne Brigade (United States),20081030000557,20050217205647,unknown,
1785 in architecture,20121114143001,20070621184919,unknown,
179th Street Tunnel,20071212040829,20071105143640,copyright,[[WP:CSD#G6|G6]]: Housekeeping and routine (non-controversial) cleanup:&#32;copyvio in history; imminent return
1880 in film,20061104142319,20061003234912,unknown,
1880s in film,20061031001212,20061003234917,unknown,
1881 in film,20061104142238,20061003234923,unknown,
1882 Immigration Act,20101107102423,20070226163811,unknown,
1882 in film,20061104142225,20061003234929,unknown,
1883 in film,20061104142209,20061003234938,unknown,
1884 Wimbledon Championships – Gentlemen's Singles,20101205173709,20100828201807,unknown,
1884 in film,20061104142156,20061003234948,unknown,
1885 Wimbledon Championships – Gentlemen's Singles,20101206165414,20100828202227,unknown,
1886 Wimbledon Championships – Gentlemen's Singles,20101206173812,20100828202234,unknown,
1887 in film,20061008130832,20061003235007,unknown,
1890s in film,20061116013309,20061003235031,unknown,
1899 Arizona Varisty football team,20161109005634,20161024173318,unknown,
18th Battalion (Australia),20090302025159,20060809063752,unknown,
18th Street Expressway,20060729211802,20060703093028,unknown,
1900 Arizona Varsity football team,20161109005746,20160923051426,unknown,
1900 Summer Olympics mixed team,20060407002707,20050426070915,unknown,
1906–07 S.L. Benfica season,20160211112206,20101127200249,unknown,
1907–08 S.L. Benfica season,20160211112207,20101127200314,unknown,
1908 George Washington Colonials football team,20160127010444,20150629131858,unknown,
1909-10 NHA season,20070621135001,20051023181535,unknown,
1910s in film,20061127231228,20061004000028,unknown,
1914–1918 Croix de guerre (France),20120830150635,20070612133126,unknown,
1915 Newark Pepper season,20110209230909,20090215204848,unknown,
1916 Texas hurricane,20060612155040,20060515165856,unknown,
1917 Georgia Tech Yellow Jackets football team,20151130045826,20141007112749,unknown,
1919 Washington Sun Dodgers football team,20121220023234,20120322075647,unknown,
1921 British Home Championship,20121111225403,20081120015553,unknown,
1922 Swatow typhoon,20070410234249,20060129205803,unknown,
1928 Georgia Tech Yellow Jackets football team,20151130050120,20141009170034,unknown,
1931 Cleveland Indians (NFL) seasons,20120210004720,20090206183507,unknown,
1931-32 Tranmere Rovers F.C. season,20160524020057,20160516172020,unknown,
1935 Brazilian Communist uprising,20160123082057,20151102212147,unknown,
1936 All-Southern Conference football team,20160206110621,20151229021107,unknown,
1936 in Australia,20050917100859,20050813123306,unknown,
1944 D-Day Operation Overlord,20061125034533,20060830030837,copyright,"A8 speedy deletion - All revisions blatant copyright infringement from commercial website, and the article is less than 48 hours old"
1946/47 United States network television schedule,20121112083117,20070815135928,unknown,
1947 Project Cirrus Hurricane,20060816142555,20060801142738,unknown,
1948/49 United States network television schedule,20121112083534,20070815140012,unknown,
1949 BSAA Avro Tudor Star Ariel disappearance,20140111140936,20091028231607,unknown,
1949/50 United States network television schedule,20121112082346,20070815140036,unknown,
1950/51 United States network television schedule,20121112083525,20061030042923,unknown,
1951 Hawaii cyclone,20140601214035,20140107042612,unknown,
1951/52 United States network television schedule,20121112082930,20061116222110,unknown,
1953/54 United States network television schedule,20121112082325,20070815140200,unknown,
1954/55 United States network television schedule,20121112083115,20070815140217,unknown,
1954–55 Liga Leumit,20140803190256,20080930123809,unknown,
1956 Blackbushe Hermes accident,20100801145555,20100725115703,copyright,Listed at [[Wikipedia:Copyright problems]] for over seven days
1958/59 United States network television schedule,20121112083113,20070815140441,unknown,
1959/60 United States network television schedule,20121112082925,20050221085620,unknown,
195th (2/1st Scottish Rifles) Brigade,20130628205615,20120203093619,unknown,
1960/61 United States network television schedule,20121112083538,20070815141113,unknown,
1962/63 United States network television schedule,20121112083523,20070815141144,unknown,
1962–63 F.C. Inter Milan season,20150716121427,20140825052010,unknown,
1963/64 United States network television schedule,20121112083124,20070815141200,unknown,
1964 state highway renumbering (California),20060316114308,20060307191306,unknown,
1965 Pacific hurricane season,20110316202351,20110102175910,unknown,
1965/66 United States network television schedule,20121112082327,20070815141227,unknown,
1969-70 Western Canada Hockey League season,20070707195235,20060608161251,unknown,
1969/70 United States network television schedule,20121112082324,20070815141339,unknown,
1970 Tangerine Bowl,20100317102933,20090924073927,unknown,
1970-71 Western Canada Hockey League season,20070707195210,20070112233710,unknown,
1970/71 United States network television schedule,20121112082906,20060911210349,unknown,
1970s in literature,20131026173858,20080229015050,unknown,
1971-72 Western Canada Hockey League season,20070707195128,20070112233713,unknown,
1972 Major League Baseball strike,20060221071440,20050903042114,unknown,
1972/73 United States network television schedule,20121112082712,20070815141833,unknown,
1973 NHL Amateur Draft,20050531010737,20050418044138,unknown,
1973-74 Western Canada Junior Hockey League season,20070707194802,20060430200518,unknown,
1974 ATP Buenos Aires - Singles,20090525180254,20080905201913,unknown,
1974/75 United States network television schedule,20121112083111,20050304120343,unknown,
1976/77 United States network television schedule,20121112082727,20070815142009,unknown,
1977/78 United States network television schedule,20121112082942,20070815142031,unknown,
1978/79 United States network television schedule,20121112082941,20070815142055,unknown,
1979 Grammy Awards,20131013215533,20110409224129,unknown,
1979/80 United States network television schedule,20121112082400,20070815142112,unknown,
1981/82 United States network television schedule,20121112082915,20070815143051,unknown,
1982 Players Championship,20170121074601,20150513153040,unknown,
1984 (number),20050919223517,20050409142103,unknown,
1984 Libyan Embassy Siege,20051003045252,20050501235116,unknown,
1985 NSWRL season,20070528015503,20070420070954,unknown,
1985/86 United States network television schedule,20121112082856,20060829202700,unknown,
1986 FIFA World Cup squads,20051216133849,20051107130116,unknown,
1986-87 Boston Celtics season,20080626103647,20071020124443,unknown,
1986/87 United States network television schedule,20121112083119,20070815144128,unknown,
1987 (What the Fuck Is Going On?),20060304210010,20060227224824,unknown,
1988 Purefoods Hotdogs season,20090624172954,20090618200304,unknown,
1989 Nehru Cup (cricket),20160322085420,20080303000455,unknown,
1991 NHL Supplemental Draft,20060703012713,20060623001548,unknown,
1991/92 United States network television schedule,20121112082331,20070815145321,unknown,
1993-94 Ukrainian Football Amateur League,20130815063032,20101022071410,unknown,
1994 Canadian Open – Men's Singles,20081116162216,20081113172101,unknown,
1994 Grand Prix de Tennis de Lyon,20080926220956,20080822144029,unknown,
1995 East Carolina Pirates football season,20090610204644,20090207135502,unknown,
1995/96 United States network television schedule,20121112082332,20061114035013,unknown,
1996 SANFL season,20141116220315,20141114002858,unknown,
1997 (band),20070727230100,20070424005012,copyright,{{db-copyvio|url=http://www.myspace.com/nineteenninetyseven}}{{unreferenced|date=June 2007}}{{notability}}{{Infobox_band |  band_name ...'
1997 Stanley Cup playoffs,20080506200636,20080111014728,unknown,
1997 World Club Challenge,20100528041232,20070523225818,unknown,
1997 in North Korea,20150116130126,20150102063543,unknown,
1998 SANFL season,20141117100538,20141114002929,unknown,
1998/99 United States network television schedule,20121112083127,20070815145841,unknown,
1999 Pulitzer Prize,20050609202830,20050413021902,unknown,
1999 SANFL season,20141117101254,20141114002938,unknown,
1999 in Hungary,20150804070344,20150801100347,unknown,
1999 international rules series,20150326204238,20081028012753,unknown,
1999-2000 Perth Glory SC season,20160408183511,20160405165023,unknown,
1999/2000 United States network television schedule,20121112082359,20061015034203,unknown,
1st Battalion 11th Marines,20170219234444,20060408005639,unknown,
1st Battalion 7th Marines,20170311201258,20060408005844,unknown,
1st Marine Regiment,20100212064657,20060408010325,unknown,
"2 & 2A Record Street, Ruthin",20140930065933,20140924145631,unknown,
2 Unlimited (album),20160507152412,20120725163453,unknown,
2+2 (car body style),20050525061243,20050220062229,unknown,
"2,3-dihydroxybenzoate-serine ligase",20110321074402,20071117081723,unknown,
"2,4-D",20051025121106,20030221174644,unknown,
"2,5-Diketopiperazines",20130812054213,20130808203436,unknown,
2-aminoethylphosphonate-pyruvate transaminase,20110321074410,20071203232859,unknown,
2-furoate-CoA ligase,20110321074417,20071117081905,unknown,
2-hydroxyglutarate dehydrogenase,20160301144053,20071107222646,unknown,
2000 ANZAC Test,20160507130343,20160123200353,unknown,
2000 NHL Entry Draft,20050727203050,20050418045108,unknown,
2000 Pulitzer Prize,20050525203743,20050413021811,unknown,
2000 Summer Olympics closing ceremony,20131120014507,20131116041516,unknown,
2000 international rules series,20150326204308,20130723131419,unknown,
2000AD,20040906133333,20040611165341,unknown,
2000–01 Honduran Liga Nacional,20100523215345,20070206021638,unknown,
2001 Maniacs: The Beverly Hellbillys,20091021233822,20090831175531,unknown,
2001 Pulitzer Prize,20050524214123,20050413021800,unknown,
2001 SANFL season,20141119121807,20141114003036,unknown,
2001 international rules series,20150326204333,20080405173458,unknown,
2001 raid on the Diaz school,20130623234831,20130304043401,unknown,
2001–02 European Challenge Cup,20110610091109,20090502010057,unknown,
2001–02 UEFA Cup,20080630172018,20070728003745,unknown,
2002 Moscow theater hostage crisis,20090913204112,20021029153027,unknown,
2002 Qasimnagar massacre of Kashmiri Pandits,20120228150947,20081218014927,unknown,
2002 SANFL season,20141119122746,20141114003046,unknown,
2002 international rules series,20150326204358,20130914033715,unknown,
2002/03 United States network television schedule,20121112083535,20070815150722,unknown,
2003 African U-17 Championship,20081209120557,20081120133431,unknown,
2003 African Under-17 Championship,20140731152640,20081209122612,unknown,
2003 Alcântara VLS accident,20120307082422,20111130090434,unknown,
2003 Istanbul Bombings,20090711211050,20051011214211,unknown,
2003 Mercedes Cup – Doubles,20110501034750,20100630161823,unknown,
2003 Mercedes Cup – Singles,20110501034602,20100630152930,unknown,
2003 SANFL season,20141119123754,20141114003133,unknown,
2003 Ykkönen,20120103123556,20100325111328,unknown,
2003/2004 snooker season,20110418212809,20100910144318,unknown,
2003–04 Adelaide United FC season,20090120040729,20070911122727,unknown,
2003–04 Ligue 1,20080617014558,20070529075439,unknown,
2004 ANZAC Test,20160507130431,20160123200400,unknown,
2004 Grand Prix motorcycle racing season,20070215200758,20060906172712,unknown,
2004 Indian Wells Masters - Men's Singles,20090206231723,20090103171437,unknown,
2004 Major League Baseball All-Star Game,20060912133237,20060817141038,unknown,
2004 SANFL season,20141119124458,20141114003123,unknown,
2004 in American television,20031215205843,20030202192311,unknown,
2004 international rules series,20150326225027,20140328024134,unknown,
2004/05 United States network television schedule,20121112082913,20051001164136,unknown,
2004/2005 snooker season,20110418212818,20100905203028,unknown,
2004/2005 snooker world rankings,20110418212149,20100910144314,unknown,
2005 ANZAC Test,20160507130505,20160123201119,unknown,
2005 NHL Entry Draft,20050715174251,20050418045131,unknown,
2005 SANFL season,20141119125351,20141114003206,unknown,
2005 San Marino Grand Prix Feature,20080713132312,20080711143341,unknown,
2006 ANZAC Test,20160507130539,20150212001935,unknown,
2006 European Athletics Championships – women's 4 × 100 metres relay,20140907224916,20120510113417,unknown,
2006 Israel-Lebanon conflict,20060806064858,20060713155503,unknown,
2006 Melbourne Cup,20061106233926,20061027070017,unknown,
2006 Ulster GAA Senior Club Football Championship,20130312133604,20061111151513,unknown,
2006 Vadodara riots,20120302085736,20120102165743,unknown,
2006 Video Music Awards,20060821073009,20060814010119,unknown,
2006 World Monuments Watch List of Most Endangered Sites,20100929014840,20090829022437,unknown,
2006-07 Southern Hemisphere tropical cyclone season,20080903034123,20080901165930,unknown,
2007 AFL Finals Series,20070929024412,20070902175133,unknown,
2007 ANZAC Test,20160507130618,20151229073517,unknown,
2007 Arab League Summit,20160703143355,20090627230410,unknown,
2007 European Women's Artistic Gymnastics Championships,20140114151944,20120414213122,unknown,
2007 National Basketball Association Finals,20070707093859,20060724002535,unknown,
2007 North Indian Ocean cyclone season,20060926013726,20060908001713,unknown,
2007 Qatar Telecom German Open,20080830220319,20080120120751,unknown,
2007 royal blackmail plot,20080503161445,20071101182336,unknown,
2007-08 Serie A,20100110202928,20070610173225,unknown,
2007-2008 European Nations Cup First Division,20100323094530,20070914050906,unknown,
2007-2011 United States housing bubble,20110627100206,20050729182856,unknown,
2007–08 F.C. Internazionale Milano season,20150716121428,20070711101501,unknown,
2007–08 Southern Hemisphere tropical cyclone season,20070416150450,20070122081637,unknown,
2008 Australian zoo killings,20081013103417,20081005021646,unknown,
2008 Beijing Drum Tower incident during the Olympic Games,20090412144100,20090405043750,unknown,
2008 Campbell's Hall of Fame Tennis Championships,20130105200140,20100830020058,unknown,
2008 Central American and Caribbean Championships,20150801035508,20100309035750,unknown,
2008 Central American and Caribbean Championships in Athletics,20100309035409,20100301024427,unknown,
2008 Christmas massacres,20090104122502,20090102160157,unknown,
2008 Dutch Caribbean championships,20150911112637,20140804141923,unknown,
2008 New York Yankees season,20071022003415,20071013005104,unknown,
2008 Qatar Telecom German Open,20080830183615,20080821211530,unknown,
2008 Summer Olympics medal count,20080813011344,20071226165712,unknown,
2008 World Rally Championship,20071025150801,20071018191643,unknown,
2008 attack at Beijing Drum Tower during Olympics,20090307143845,20080819090159,unknown,
2008 occupation of ʻIolani Palace,20091203080637,20091112081840,unknown,
2008-09 European Badminton Circuit season,20160324152824,20160323042524,unknown,
2008/09 United States network television schedule,20121112082726,20080907234207,unknown,
2008/2009 World Tour (Judas Priest),20170223200720,20120224003320,unknown,
2008–09 Premier Soccer League,20081118101900,20081105093528,unknown,
2008–09 Slohokej Liga season,20100211171551,20100204021025,unknown,
2008–09 UW–Milwaukee Panthers men's basketball team,20101012035020,20081127023650,unknown,
2008–12 California budget crisis,20090622211921,20090208175836,unknown,
2008–2009 United States network television schedule,20091224114939,20080211213336,unknown,
2008–2009 hadrosaur chewing study,20090713005721,20090703212304,unknown,
2008–present Georgia–Russia crisis,20110521192047,20080523025312,unknown,
2009 ANZAC Test,20160507130809,20160123200246,unknown,
2009 Braşov Challenger – Doubles,20110808064043,20110805195231,unknown,
2009 Capital of Arab Culture,20100127234107,20090322155357,unknown,
2009 Mediterranean Games,20121228065129,20090626174414,unknown,
2009 New Zealand Winter Games,20110516160412,20110310081945,unknown,
2009 Regional League Division 2 Bangkok & field Region,20170220083411,20100831234435,unknown,
2009 Uzbekistan national football team results,20150909210703,20110112065314,unknown,
2009 flu pandemic in Thailand,20100312194227,20090606041213,unknown,
2009–10 ABL League Championships,20100208134135,20091109153650,unknown,
2009–10 ABL Regular Season,20120602175516,20100205084223,unknown,
2009–10 Golden State Warriors season,20091113201627,20090812042538,unknown,
2009–2010 flu pandemic in Europe,20100110070812,20090608195328,split from 2009-2010 flu pandemic in Europe,
2010 A.C. St. Louis season,20100306082736,20100223092113,unknown,
2010 African Cup of Nations,20100110192720,20070920134451,unknown,
2010 Attacks against places of worship in Malaysia (2010),20100206085240,20100110182733,unknown,
2010 Haiti cholera outbreak,20101213061659,20101023123912,unknown,
2010 Konica Minolta Gator Bowl,20091210044458,20091207231718,unknown,
2010 La Manga Cup II,20100312132255,20100310175115,unknown,
2010 Players' Championships,20170322230204,20100401103716,unknown,
2010 Regional League Division 2 Bangkok & field Region,20170220083559,20110111070821,unknown,
2010 United States Olympic Curling Trials,20131207004100,20100329093622,unknown,
2010 United States Women's Curling Championship,20100224200400,20100222143411,unknown,
2010 WAFU Nations Championship,20100426160016,20100417014953,unknown,
2010 Wimbledon Championships – Women's Singles,20100619004322,20100607182205,unknown,
2010 World Judo Championships – Women's 48 kg,20130831022043,20130830014802,unknown,
2010 films,20090826231541,20090818201806,copyright,"redirect per afd, but deleting to remove copyvio from edit history"
2010 in British music,20130414163123,20091230144522,unknown,
2010/11 United States network television schedule,20121112082924,20091217174816,unknown,
2011 ANZAC Test,20160507130922,20130416025508,unknown,
2011 Bonnaroo Music Festival,20110223220152,20110222195817,unknown,
2011 Cellular South Cup – Singles,20110212115717,20110211112306,unknown,
2011 Pacific-12 Conference football season,20151213021545,20110517024750,unknown,
2011 Papua New Guinea political crisis,20120214124813,20111218120523,unknown,
2011 Players Championship Finals,20110913202831,20101205161656,unknown,
2011 Regional League Division 2 Bangkok & field Region,20170220083908,20110828230048,unknown,
2011 UL21,20160111153106,20111121040346,unknown,
2011 in Taiwan,20110316104613,20110103001917,unknown,
2011 texas wildfires,20110421105056,20110418040058,unknown,
2011-2012 Damascus clashes,20120213131428,20111123162850,unknown,
2011–12 Aris F.C. season,20151212143759,20110728083331,unknown,
2011–12 KML season,20111017154941,20111006202814,unknown,
2011–2013 Iraqi protests,20130225190843,20110221015535,unknown,
2011–2013 Saudi Arabian protests,20130310214650,20110223034135,unknown,
2011–2013 Sudanese protests,20130309060406,20110223052243,unknown,
2012 ANZAC Test,20160507130950,20130418204709,unknown,
2012 Bangladesh Football Premier League,20121120083902,20120217133455,unknown,
2012 CONCACAF Men's Olympic Qualifying Tournament,20150820113607,20110319182503,unknown,
2012 Ford World Women's Curling Championship,20170413175506,20110425022328,unknown,
2012 Men's World Ice Hockey Championships,20110517164619,20090530161055,unknown,
2012 Pacific-12 Football Championship Game,20151213015421,20121111183928,unknown,
2012 Regional League Division 2 Bangkok & field Region,20170220084315,20120217150718,unknown,
2012 Venus Jupiter Mercury conjunction,20120224060103,20120223052630,unknown,
2012 West Asian Football Federation Championship,20130226153404,20121215154727,unknown,
2012 end of year rugby union tests,20130202234345,20120628145340,unknown,
2012–13 United Football Cup,20121029173336,20121017021030,unknown,
2012–15 North American drought,20160723212620,20120710155313,unknown,
2013 ANZAC Test,20160508013816,20141220202718,unknown,
2013 Bangladesh violence,20130304090525,20130302204017,unknown,
2013 Judgments of the Supreme Court of the United Kingdom,20150804161438,20150802163050,unknown,
2013 Mediterranean Games,20130118063217,20071028181712,unknown,
2013 Mumbai gang rape,20160704173916,20131020111847,unknown,
2013 NCAA Division I FBS football season,20130111050734,20130109214505,unknown,
2013 NHL Winter Classic,20130407183914,20120209210656,unknown,
2013 Queensland Cup season,20141121051704,20130220001134,unknown,
2013 Regional League Division 2 Bangkok & field Region,20170220084538,20130821152013,unknown,
2013 Tunisian protests,20140226222817,20140101084219,unknown,
2013 United Nations Climate Change Conference,20130220180301,20130208094150,unknown,
2013 Vauxhall helicopter crash,20141109011018,20130122010303,unknown,
2013 Xiamen bus fire,20130609224314,20130608022901,unknown,
2013-14 Maritime Junior A Hockey League season,20140409141748,20130829024853,unknown,
2014 ANZAC Test,20160507131059,20140428022010,unknown,
2014 China Open – Women's Singles,20140925213623,20140922234442,unknown,
2014 Lao League,20131229042520,20131016110055,unknown,
2014 MT69,20150509214049,20150402065859,unknown,
2014 NCAA Division I Men's Basketball Tournament,20121112204813,20120404071005,unknown,
2014 Regional League Division 2 Bangkok & field Region,20170220084914,20140824080449,unknown,
2014 Russian military intervention in Ukraine,20150125040843,20150101201608,unknown,
2014 Thai Division 2 League North Eastern Region,20170213060309,20140824080513,unknown,
2014 Thai Division 2 League Southern Region,20170213060202,20140824080525,unknown,
2014 hostage rescue operations in Yemen,20141206224320,20141127085949,unknown,
2014 in film,20080414024642,20070405013531,unknown,
2014–15 Cyprus Basketball Division A,20150630121918,20150629001541,unknown,
2014–15 Russian Football National League,20150628202738,20150620210152,unknown,
2014–15 WKU Lady Toppers basketball team,20160912140222,20141227033840,unknown,
2015 Chile earthquake,20160428045901,20150917005754,unknown,
2015 EuroPro Tour,20170409072443,20151030171523,unknown,
2015 IIHF World Championship,20110516133504,20100816105242,unknown,
2015 Major League Baseball season,20140909232946,20140908182427,unknown,
2015 Papal visit to Sri Lanka and the Philippines,20150115205110,20150108041011,unknown,
2015 Regional League Division 2 Bangkok & field Region,20170220085150,20150509191221,unknown,
2015 Western Kentucky Hilltoppers football team,20151224185153,20150323092819,unknown,
2015 World Taekwondo Championships – Women's lightweight,20150517122229,20150516120401,unknown,
2015–16 WKU Lady Toppers basketball team,20160912140239,20151227231348,unknown,
2016 ANZAC Test,20160507131202,20160126020305,unknown,
2016 Clown Sightings,20161001001750,20160904014612,unknown,
2016 European Allround Speed Skating Championships,20170121164946,20160103202324,unknown,
2016 Formula One season,20140728155715,20140414182356,unknown,
2016 Fort McMurray wildfire,20170127012834,20160519090225,unknown,
2016 French F4 Championship season,20160222064810,20160102084223,unknown,
2016 Monte-Carlo Rolex Masters - Singles,20160408161333,20160404194716,unknown,
2016 Oklahoma City Energy FC season,20170125014119,20160920012457,unknown,
2016 Philadelphia Soul season,20160307140753,20160306131409,unknown,
2016 United States Supreme Court vacancy,20160316173203,20160215234346,unknown,
2016-17 Hertha BSC season,20160408194032,20160403110041,unknown,
2016-17 SPHL season,20160419160730,20160417234945,unknown,
2016-17 Southern Football League,20160524020147,20160516183044,unknown,
2016-17 West Coast Conference men's basketball season,20160409035402,20160406190014,unknown,
2016–17 Northern Premier League,20160410213942,20160406192621,unknown,
2017 Kids' Choice Awards,20170220084227,20170116002208,unknown,
2018 Bangladeshi general election,20160220233511,20131126144834,unknown,
2018 FIFA World Cup qualification - UEFA Group G,20161108144537,20160403013105,unknown,
2019 ICC Cricket World Cup,20110509075946,20110507182800,unknown,
20XX (disambiguation),20151118231245,20151113174913,unknown,
20th Anniversary Tour,20130128061638,20111207145257,unknown,
20th Tactical Air Support Squadron,20120125062318,20090301145437,unknown,
2110s,20051217172530,20050728120750,unknown,
2197,20051212123526,20051018224525,copyright,copyvio
21st Century Fox (disambiguation),20061114051525,20051019052724,unknown,
21st Mounted Brigade (United Kingdom),20150522045232,20121013091052,unknown,
22 (Taylor Swift single),20121202160026,20121126220248,unknown,
225 West 57th Street,20151106112258,20140920234748,unknown,
22nd Strategic Aerospace Division,20080227215008,20070109020954,unknown,
231st Combat Communications Squadron,20070429090752,20070428073046,copyright,[[WP:CSD#G12|CSD G12]]: Blatant Copyright
24 Infantry Division Gran Sasso,20090408170425,20090202072104,unknown,
24 June 2009 Baghdad bombing,20130215034924,20090624180401,unknown,
24-7 Prayer Movement,20060828201204,20050830204258,unknown,
24/7: The Passion of Life,20111020195017,20071121085122,unknown,
240 (number),20060529010426,20060509000834,unknown,
24SevenOffice,20060303092819,20050418223546,unknown,
256-bit era,20040918204135,20040819053301,unknown,
2B9 Vasilek,20101126190909,20070113225915,copyright,"[[WP:CSD#A3|A3]]: Article that has no meaningful, substantive content: Potential 'looped' copyright violation in/thu Wiki; no prejudice to recreation"
2NE1 (EP),20131211175028,20131210173405,unknown,
2ZG,20070228062635,20070221081527,unknown,
2nd Battalion 7th Marines,20170311201412,20060408011153,unknown,
2nd Grammy Awards,20121009232828,20101019123823,unknown,
2x2 (TV channel),20110813065720,20080621051420,unknown,
3 Ninjas (film series),20121103171526,20110802180948,unknown,
3.14,20060916054530,20050804132153,unknown,
30footFALL,20070816211511,20060120122643,unknown,
30th Alberta general election,20150725034952,20080204212814,unknown,
30th Field Artillery Regiment,20080815133442,20071202185654,unknown,
32-bit disk access,20060113230506,20050909103534,split from 32-bit Disk Access,
33179 Arsenewenger,20090810041415,20080701223333,unknown,
336/Now the World,20070125005619,20050806140417,unknown,
35 Shots of Rum,20091011174429,20090918183856,unknown,
35th Air Division (United States),20090321011722,20070126114556,unknown,
"363d Intelligence, Surveillance and Reconnaissance Wing",20080627185404,20070514174159,unknown,
363d Training Group,20140707213318,20110412203505,unknown,
3753 Cruithne,20020225154311,20011204150923,great oops,
38628 Huya,20050804231212,20050310064940,unknown,
39/Smooth,20040520203956,20021010022650,unknown,
3982 Kastel,20161117222204,20100403234449,unknown,
