from,to,namespace,comment
John Reid (disambiguation),John Reid,0,Main page
Richard A. Boucher,Richard Boucher,0,more common
Spider-Man (games),Spider-Man computer and video games,0,
F4l,F4L,0,correct capitalisation
Michael Burns,Burnie Burns,0,WP:RM
Imperial officer,Imperial Officer,0,revert changes
Harrison college,Harrison College,0,capitalization
Houghton Lake (Michigan),"Houghton Lake (Roscommon County, Michigan)",0,two lakes named Houghton in Michigan
Belgian constitution,Constitution of Belgium,0,nameing like other constitution articles.
"1st Battalion, 11th Marines",1st Battalion 11th Marines,0,No comma in official name
Elisabeth of Austria,Elisabeth of Austria (disambiguation),0,"move to disambiguation to ease navigation, otherwise it's too confusing on the cat. list"
Angélico Chavez,Angélico Chávez,0,use accent
Virtual Serial Port,Virtual serial port,0,Correcting case.
Sharon tay,Sharon Tay,0,
42nd Street-Bryant Park (IND Sixth Avenue Line station),42nd Street-Bryant Park (IND Sixth Avenue Line),0,"remove ""station"""
List of Polish Coats of Arms,List of Polish coats of arms,0,
U.S. Navy Special Warfare Development Group,United States Navy Special Warfare Development Group,0,
Naturism,Clothes free movement,0,cut/paste move fix
Margaret Laurence(actor),Margaret Laurence (actor),0,
Epanine,Eponine,0,spelling incorrect
"City, Queensland",Brisbane central business district,0,The new title is better suited and would avoid confusion.  There are several cities in Queensland - not just one.
Romanza,Romanza (album),0,"It is a musical term, accidentally taken as title by a known album."
People born at sea,List of people born at sea,0,"moving to ""List of"" in line with convention"
List of Kings of Dalriada,List of Kings of Dál Riata,0,Moved to match [[Dál Riata]] article naming.
Fredras E. Peters,Francis Edwards Peters,0,That is his actual name
Welsh-Americans,List of Welsh Americans,0,Moved per request
Limpopo Province,Limpopo,0,WP:RM
Yamasaki mami,Yamasaki Mami,0,wiki naming conventions
"David Berman, R.G.D., FGDC",David Berman (graphic designer),0,
The War of the Worlds (movie),The War of the Worlds (film),0,moved according to [[Wikipedia:Naming conventions (films)]]
"1st Battalion, 7th Marines",1st Battalion 7th Marines,0,"removed comma  made uniform with rest of category
"
University of Wisconsin-Madison,University of Wisconsin,0,Moving as part of merging the page histories
Employee of the Month (2006 movie),Employee of the Month (2006 film),0,proper name
"""lake underwood""",Lake Underwood,0,caps
Torture Victim Protection Act (1992),Torture Victim Protection Act of 1992,0,consistency with similar acts
Passion (movie),Passion (film),0,
"Waupun, Dodge County, Wisconsin","Waupun (city), Wisconsin",0,Existing page title misleading; this article refers to the city in both Dodge and Fond du Lac counties
William I. Thomas,W. I. Thomas,0,better known under this name
Gidget (sitcom),Gidget (TV series),0,[[Wikipedia:Naming conventions (television)]]
Jeffrey Kripal,Jeffrey J. Kripal,0,Professor Kripal requested that his middle initial be inserted in the article's title.
Bombay Stock Exchange Limited,Bombay Stock Exchange,0,[[Wikipedia:Naming conventions (companies)]]
British and Irish current events,March 2006 in Britain and Ireland,0,monthly archive
Jonathan Morris,Jonathan Morris (priest),0,disambiguating
Ireland (country),Republic of Ireland,0,unilaterally moved without any consensus
Chief Minister of Kerala,List of Chief Minister of Kerala,0,"This is a list page, not an article on the powers and functions of the chief mininster of this state."
List of ER Episodes,List of ER episodes,0,
Pickle (disambiugation),Pickle (disambiguation),0,typo
Strings (Pakistani Pop Band),Strings (Pakistani pop band),0,disambiguation should be lowercase unless there is a reason to capitalize (like Pakistani)
Neil sasche,Neil Sasche,0,capitalization per WP naming convention
Nordic Blading,Nordic blading,0,more consistent naming
Chute (gravity),Chute,0,this is the most common term
James Bond games,James Bond video games,0,In the James Bond article it say James Bond video games not James Bond games.
Plato,Platon,0,I want to be like this.
John Carroll,John Carroll (priest),0,"Make way for dab page, as not obviously most notable John Carroll (see discussion page)"
The Hong Kong Special Administrative Region Passport,HKSAR Passport,0,
Soviet,Soviet (word),0,"to allow Soviet to redirect to [[Soviet Union]], as per talk page"
History of sex,History of human sexuality,0,WP:RM
John Hemphill,John Hemphill (politician),0,
Newcastle,Newcastle (disambiguation),0,Newcastle is in NE England
Minor residents of Tatooine,List of minor residents of Tatooine,0,This is a list of characters
"Alberta Progressive Conservative Party leadership election, 2006","Alberta Progressive Conservative leadership election, 2006",0,
Capitaine Danjou,Jean Danjou,0,"article by name, not title"
"Kites, Kung Fu, Trophies, Banana Peels We've Slipped On, And Egg Shells We've Tippy Toed Over. Burritos, Inspiration Point, Fork Balloon Sports, Cards In The Spokes, Automatic Biographies. (Album)","Kites, Kung Fu, Trophies, Banana Peels We've Slipped On, and Egg Shells We've Tippy Toed Over. Burritos, Inspiration Point, Fork Balloon Sports, Cards in the Spokes, Automatic Biographies.",0,see [[WP:NC#Album titles and band names]]
Main-Tauber-Kreis,Main-Tauber (district),0,consist. naming
Benjamin O. Davis Jr.,"Benjamin Oliver Davis, Jr.",0,
"Ziarat District, Pakistan",Harnai,0,Already exists
Costa Rican cougar,Costa Rican Puma,0,
Umarkot,Hyderabad Airport,0,Umerkot exists
Watershed (disambiguation),Watershed,0,per [[WP:RM]] (6:2 (75%) consensus)
Dr Felix Mann,Felix Mann,0,
Patrice Oneal,Patrice O'Neal,0,correcting spelling to match his actual name
Russian Orthodox Church Outside of Russia,Russian Orthodox Church Outside Russia,0,grammar
Common Short Code,Short code,0,'Short code' alone is unambiguous and more common
"Interstate 40 Business (Winston-Salem, North Carolina)",Interstate 40 Business (North Carolina),0,
Crystal Ball,Crystal Ball (Prince album),0,Naming conventions per [[WP:ALBUM]]
Scott gibbons,Scott Gibbons,0,Caps
Jessica Böehrs,Jessica Böhrs,0,"oops, actually *this* is correct."
Born to Try (Delta Goodrem song),Born to Try (song),0,naming conventions
Wiener Prater,Prater,0,WP:RM
Gaya District,Gaya district,0,naming convention
1987: What The Fuck Is Going On?,1987 (What the Fuck Is Going On?),0,"fix title, see [[WP:NC#Album titles and band names]]"
Minor characters in Tintin,Minor characters in The Adventures of Tintin,0,Accuracy.
Sign 'O' the Times,Sign “☮” the Times,0,"Peace symbol ☮ is a valid [[Unicode]] character (U+262E), so the technical restriction in this title can be lifted."
Thor (comics),Thor (Marvel Comics),0,"Preciseness & accuracy, as there are many others Thors in comics; precedent of Daredevil (Marvel Comics), others,"
Emil Hamilton,Professor Hamiliton,0,Changing name back to generally accepted title.
Electronic Dance,Electronic dance,0,capitalization: [[WP:NAME]]
Peerage,British Peerage,0,does dab elsewhere for non-British peerages
Presbyterian and Methodist Schools’ Association,Presbyterian and Methodist Schools' Association,0,Proper Wiki apostrophe
Samatha Meditation,Samatha meditation,0,
Slip Of The Tongue,Slip of the Tongue,0,[[Wikipedia:Naming conventions]].
Dnevni Avaz,Avaz,0,Dnevni means Daily.  Avaz is the name of the newspaper.
Northern indigenous peoples of Russia,Indigenous peoples of the Russian North,0,"correct translation of ""коренные народы Севера России"", see discussion."
Sikhism and the Turban,Turban (Sikhism),0,
Parliamentary cats,Canadian parliamentary cats,0,
Utrecht (Dutch city),Utrecht (city),0,
Sports franchising,Franchise (sports),0,see talk
VMAT2,Vesicular Monoamine Transporter,0,
Hero Honda Motors Limited,Hero Honda Motors,0,[[Wikipedia:Naming conventions (companies)]]
Gare de le Havre,Gare de Le Havre,0,
I Was Made To Love Her,I Was Made to Love Her,0,see [[WP:NC#Album titles and band names]]
KeySpan Corporation,KeySpan,0,[[Wikipedia:Naming conventions (companies)]]
Dodona adonira,Striped punch,0,move to common name per naming conventions
Vivek (Actor),Vivek (actor),0,coller
OSCA,OSCA (association),0,"Disambig. needed as OSCA was also an Italian car brand. The ""Oberlin Student Cooperative Association"" should be moved there but this is already occupied by a redirect. Admins, please sort it out."
Jorge cervantes,Jorge Cervantes,0,sp
Prince of Gui,"Zhu Youlang, Prince of Gui",0,
Forerunners (Halo),Forerunner (Halo),0,WP:RM
Fremont High School (California),"Fremont High School (Sunnyvale, California)",0,one in LA as well
Situationism,Situationism (disambiguation),0,it's a disambig page
Thoothukudi district,Thoothukudi District,0,like rest of Indai
Giant Food,GIANT Food,0,The appropriate spelling of this corporation is in all capital letters.
Prahlada,Prahlad,0,Prahlad didn't hate any devas or Lord Vishnu. There is no letter a after the Prince Prahlad name.
KVTV-TV,KVTV (TV),0,"There is no ""-TV"" in the FCC license; named ""KVTV (TV)"", as there is a disambiguation page for ""KVTV""."
Lee Haechan,Yi Haechan,0,
Richmond Renegades,Richmond Renegades (ECHL),0,Splitting ECHL team from SPHL; this article's history is associated with the ECHL team.
List of State Highway Loops and Spurs in Texas,List of State Highway Loops and Spurs in Texas,1,why not already
Caprica,Caprica (planet),0,disambiguate from Caprica (which now means something else)
Memento (film),Memento,0,this redirect is useless
Season One of My Gym Partner's a Monkey,List of My Gym Partner's a Monkey episodes,0,"conformity, almost all episode lists use this format"
State Route 267 (California),California State Route 267,0,
Empire Movie Award,Sony Ericsson Empire Awards,0,this is the name given on the magazine's official site (http://www.empireonline.com/awards2006/)
Vladislaus I of Hungary,Vladislas I of Poland,0,"oops, typo"
Canada police,Policing in Canada,0,better title
Dayananda Saraswati,Dayananda Saraswati (Chinmaya Mission),0,proper disambiguation based on the 'other uses' formula
La Rioja,La Rioja (autonomous community),0,
Majordomo,Majordomo (domestic staff),0,creating disambig page
Aiglon,Aiglon College,0,name
List of Percussion Instruments,List of percussion instruments,0,Lower case titles
Tor (Geoography),Tor (geography),0,"caps, typo"
Timothy Dexter,Timothy Dexter (businessman),0,Moved to creat disambig page for Timothy Dexter (named later changed to Treadwell) -- the subject of the documenary Grizzly Man
Syrian presence in Lebanon,Syrian Presence/Occupation of Lebanon,0,
Dr. McNinja,The Adventures of Dr. McNinja,0,Merging histories
AN-94,AN-94 Abakan,0,"Full name of gun includes ""Abakan""."
The World at War (TV Series),The World at War (TV series),0,"""series"" should not be capitalized"
Haji Abdul Qadir,Abdul Qadir (Taliban leader),0,"Haji is an honorary title -- and there is already another person described under ""Abdul Qadir"""
Ronaldo Disambiguation,Ronaldo,0,
AIM,AIM (disambiguation),0,Surely nothing is half as common as [[AOL Instant Messanger]]...
American country music,Country music,0,per talk
Yahir Othón,Yahir Othon,0,there's no accent
Victoria Road,Victoria Road (disambiguation),0,
Online Tutoring,Online tutoring,0,
La Raza,La Raza Cósmica,0,The page for ''La Raza Cósmica'' has been mixed with a disambiguation page for ''La Raza''.  This separates them and the old page becomes just a disambiguation page.
Mongoloid Race,Mongoloid race,0,
List of postage stamps,List of notable postage stamps,0,More specific name
Beijing North Railway Station,Beijing north railway station,0,
List of political parties in Haiti,List of political parties in Haïti,0,Spelling
Foreign relations of Haiti,Foreign relations of Haïti,0,Spelling
8 Mile,8 Mile (disambiguation),0,The previous move was not a good thing
Thomas Reynolds (Disambiguation),Thomas Reynolds (disambiguation),0,"Lowercase ""d"" (standardized title)"
End of the World,End of the world,0,
Ageia,AGEIA,0,Move to proper name (see http://www.ageia.com/)
Hyderabad (Pakistan),"Hyderabad, Pakistan",0,"rv annoying city moves by Nichalp, city dab is done by comma [[Wikipedia:Naming conventions (city names)]]"
Asiaphilia,Asiaphile,0,most common term
Kasaragod District,Kasaragod district,0,see [[Wikipedia_talk:Notice_board_for_India-related_topics/archive7#Indian_district_project]]
Tiruvarur District,Tiruvarur district,0,revert
Shahrbanu binte Yazdegerd III,Shahrbanu binte Yazdgerd III,0,
Koga (kuge),Kuga,0,per talk
Voivodship warmińsko-mazurakie,Voivodship warmińsko-mazurskie,0,fix my misspelling
Violence against Israel in 2003,Terrorism against Israel in 2003,0,get consensus
EtherKiller,Etherkiller,0,lowercase k
Vilen,Vilén,0,correct spelling
Happy New Millennium,HAPPY NEW MILLENNIUM,0,Real title: HAPPY NEW MILLENNIUM
Propositional calculus,Propositional logic,0,WP:RM
Routing Information Protocol,Routing information protocol,0,standard lower case
Open Shortest Path First,Open shortest path first,0,standard lower case
Dan Matthews,Dan Mathews,0,Incorrect spelling of name per [[m:OTRS]] ticket number 2006050810008672.
Jacksonville public library,Jacksonville Public Library,0,Proper capitalization
Pechenga,Pechenga (disambiguation),0,urban-type settlement seems to be the most notable
West Pier,"West Pier, Brighton",0,"Maybe there are other west piers in the world, even though there is only one West Pier!"
The Long Island Railroad Massacare,Colin Ferguson,0,revert
Ian Anderson (singer and musician),Ian Anderson (musician),0,"""musician"" is unambiguous, and includes singers, guitarists, and floutists alike"
Hinkle Fieldhouse/Temp,Hinkle Fieldhouse,0,replace copyvio
Stunt Pogo,Stunt pogo,0,style dictates lowercase title unless a proper noun
"Vajiralongkorn, Crown Prince of Thailand",Maha Vajiralongkorn,0,So as to be in line with other Thai royals' articles.
"United States House of Representatives, Alaska At Large",Alaska's At-large congressional district,0,See [[Talk:List of United States Congressional districts#Better Rename A District]]
Halloween II,Halloween II (disambiguation),0,"Shouldn't be primary topic, film is far more notable"
Plymouth Devonport,"Plymouth, Devonport",0,official name
George D. Clyde,George Dewey Clyde,0,make full name canonical page
"Simon Christopher Joseph Fraser, 17th Lord Lovat","Simon Fraser, 17th Lord Lovat",0,no need for middle names
Charlesbourg–Haute-Saint-Charles (Canada's Federal Electoral District),Charlesbourg–Haute-Saint-Charles,0,revert: name violates [[Wikipedia:Naming_conventions#Lowercase_second_and_subsequent_words]]
Montmorency–Charlevoix–Haute-Côte-Nord (Canada's Federal Electoral District),Montmorency–Charlevoix–Haute-Côte-Nord,0,revert: name violates [[Wikipedia:Naming_conventions#Lowercase_second_and_subsequent_words]]
Renuka Menon,Renuka,0,rvv
Manhole,Maintenance hole,0,gender-neutral
Sergeant Major,Sergeant Major(General Military),0,Allow for disambiguation
Junior Enterprise,Junior enterprise,0,caps convention
Slot,Leading edge slot,0,proper title; cannot occupy such a general term
30footfall,30footFALL,0,capitalization used by band
"City Island (Bronx, NY)","City Island, New York",0,Maintaining standard for naming.
American Spadefoot Toads,American spadefoot toads,0,Common names of families should be uncapitalised.
Stray (Book),Stray (novel),0,really a novel
Urethane,Ethyl carbamate,0,Systematic name
Kutch,Kutch District,0,
U.S. Highway 161,U.S. Route 161,0,naming conventions
Proxy Wedding,Proxy wedding,0,
Rohingya,Rohingya people,0,correct title for an anthtropological group
Robert Fleck,Robert Fleck (footballer),0,Need to disambig with rugby player Robbie Fleck
The Good Witch of the West Astraea Testament,Good Witch of the West Astraea Testament,0,"rem initial article
"
Socratic Club (Oxford),Socratic Club,0,Move over disambig per WP:RM
Clone (genetics) on wheels!,Clone (genetics),0,revert
Kristen Johnson (beauty queen),Kristen Johnson,0,WP:RM
Portimonense,Portimonense S.C.,0,
Religion and homosexuality,Homosexuality and religion,0,"alphabet per [[Wikipedia:Naming conventions#Use of ""and""]]"
Morača river,Morača River,0,title should be capitalized
"Bridal Falls, British Columbia","Bridal Veil Falls, British Columbia",0,"Name is incorrect. Change from ""Bridal Falls"" to ""Bridal Veil Falls"""
LDS philanthropies,LDS Philanthropies,0,"""Philanthropies"" should be in caps as well"
William Westall (1781-1850),William Westall (artist),0,more common to disambiguate by occupation than dates
Charles Hawtrey (20th century actor),Charles Hawtrey (stage),0,terse dab'g sufx
Media in the People's Republic of China,Media of the People's Republic of China,0,"consistency with other ""media of x"" articles"
Gallup Talons,Gallup Outlaws,0,WP:RM
Last Train To Trancentral,Last Train to Trancentral,0,To keep the article within the guidelines set down at [[Wikipedia:Naming]].
Salima Aga Khan,Princess Salima Aga Khan,0,"missing its title, per Wikipedia convention on nobility"
Black Diamond series,Walt Disney Classics,0,
Police in the People's Republic of China,Law enforcement in the People's Republic of China,0,"consistency with other articles
"
Liberty (1775),USS Liberty (1775),0,Correct my mistaken move.  Wikipeda policy is to use USS rectoactivly for commisioned US ships.
Scotch Broom,Common Broom,0,rv bad move
Ebook,EBook,0,EBook would be closer to correct.
Age of consent in South America,Ages of consent in South America,0,Giving consistent names across the AoC series
Robert Bruce (disambiguation),Robert Bruce,0,
Torino Caselle Airport,Turin International Airport,0,people know it more by that name
Michael Power/St. Joseph High School,Michael Power-St. Joseph High School,0,"The /, while part of the school name, creates a subpage"
Moroni (Mormonism),Moroni (prophet),0,consistent naming
Isabella of Portugal (1503-1539),"Isabella of Portugal, Empress",0,easier differentiation
Xiaoshi junior high school,Xiaoshi Junior High School,0,
Dr. Bruce Hensel,Bruce Hensel,0,no titles with names
ToHeart characters,List of ToHeart characters,0,inline with rest of lists
Marie Françoise of Savoy,Maria Francisca of Nemours,0,
Mělník,"Mělník, Czech Republic",0,preparation for disambiguation
National socialism,National socialism (disambiguation),0,"disambiguation page--Nazism is obviously the most notable of these and the most often referred to as National Socialism
"
The House of Stairs,The House of Stairs (William Sleator novel),0,two novels with this title
The Complete Truth About Devolution,The Complete Truth About De-Evolution,0,
Cosmos (band)/Temp,Cosmos (band),0,"Requested move, over copyvio"
Gol TV,GolTV,0,moved to correctly formatted name
The Dover Boys at Pimento University or the Rivals of the Roquefort Hall,The Dover Boys at Pimento University or the Rivals of Roquefort Hall,0,Corrected the title.
Labour power,Labor power,0,Moving to right name
Dj woody,DJ Woody,0,better spelling
Alperowicz,Alperovich,0,
"FreeWave Tehcnologies, Inc.","FreeWave Technologies, Inc.",0,typo
Vertigo of Bliss,The Vertigo Of Bliss,0,"Because the album is not called ""Vertigo Of Bliss"", it's THE Vertigo Of Bliss. Just check the cover."
Sobranie (cigarettes),Sobranie (cigarette),0,Singular term
Liverpool on wheels!,Liverpool,0,WoW
Bob Gwilym,Robert Gwilym,0,proper name
Skuld (Norse mythology),Skuld (Norn),0,"this is easier for readers to type, and makes it less confusing consitering there is also a [[Skuld (Scandinavian mythology)]]"
The Madonna of the Cherubim (Mantegna),The Madonna of the Cherubim,0,
Western Branch High School/temp,Western Branch High School,0,Restoration of article
Al-Nasr Muhammad,Al-Nasir Muhammad,0,"The old name is wrong. There is an ""Alef"" as 2nd letter."
Olara otunnu,Olara Otunnu,0,
Kattaqo‘rg‘on,Katta-Kurgan,0,"235 hits on google for ""Kattaqo‘rg‘on"" (which is inaccurate anyway, as it's two words: I've never even seen this absurdly pedantic form before). Over 9,000 for ""Katta-Kurgan"". 'Nuff said"
Mylan,Mylan Laboratories Inc.,0,moving to full name
Humorism,Four humours,0,humor theory should be moved instead
Traffic safety,Road-traffic safety,0,"Discussion revealed some objections to my earlier change to ""Traffic safety"", and I reject ""Road safety"" . This seems to cover all bases."
About Time (Album),About Time (album),0,Album -> album
Edward Johnson (soccer),Eddie Johnson (soccer),0,"Player is always referred to as ""Eddie"" including in bios on official sites such as ussoccer.com"
The Infadels,Infadels,0,"Fix band name, see talk."
Poldark,The Poldark Novels,0,merge
Black Wall Street Records,The Black Wall Street Records,0,Remove The
Journal of Hellenistic Studies,Journal of Hellenic Studies,0,Old journal name was incorrect.
Petrovka,Petrovka (disambiguation),0,
Devil's Hole Pupfish,Devil's Hole pupfish,0,lowercase to go with other pupfish
William Mount,William Mount (disambiguation),0,disamb
The Way and Its Power,Tao Te Ching,0,"most common name, even in English"
Lj (letter),Lj (digraph),0,
Birmingham Yardley,"Birmingham, Yardley",0,official name
Birmingham Hodge Hill,"Birmingham, Hodge Hill",0,official name
Chubu International Airport,Chubu Centrair International Airport,0,"full name, link with talk page"
Little Red Riding Hood (movie),Little Red Riding Hood (film),0,standard naming convention
Barca,Barca (disambiguation),0,"free name for most elaborate, ancient meaning"
Intermediate Circular Orbit,Intermediate circular orbit,0,Caps - we only capitalise proper nouns.
St. John's Wood tube station,St John's Wood tube station,0,
Astrid Zachison,Astrid Zachrison,0,Spelling Mistake
Berengar II of Italy,Berengar of Ivrea,0,
Trinity-Spadina,Trinity–Spadina,0,"Okay, maybe an en-dash, but not an em-dash."
Curia Hostilia,Curia Julia,0,The Curia Hostilia was destroyed by Julius Caesar and replaced by this building.
Guarani aquifer,Guaraní Aquifer,0,proper orthograph
Endless (comics),The Endless (comics),0,G6
Gagillion,Indefinite and fictitious large numbers,0,"Out of all the names mentioned on this page, why is ""gagillion"" the title?"
Saint Thomas the Apostle Church,St. Thomas the Apostle Church,0,
River City (television series),River City (TV series),0,renamer per [[WP:TV-NC|Television naming conventions]]
Ages of apocalypse,Ages of Apocalypse,0,
List of Dragon Ball Episodes,List of Dragon Ball episodes,0,"Lowercasing of ""Episodes"""
Sahara (television series),Sahara (TV serial),0,TV naming convention
Westwood High School,"Westwood High School (Williamson County, Texas)",0,
Current computer and video games events,May 2006 in video gaming,0,archiving
Croatian Serbs,Serbs of Croatia,0,"i think that the old title is fine - the new title is used in the vernacular more, but this one is more exact, and using adjectives in such a sensitive topic is tricky"
Rebecca godfrey,Rebecca Godfrey,0,caps
Live,Live (Iron Butterfly album),0,
Matthew Knowles,Mathew Knowles,0,"Per AOL Music, Barnes & Noble, VH1 and PRWeb, to name a few of the more reputable sites in a Web search, I'm going to move this"
Prussian blue,Prussian blue (color),0,People coming here would probably be looking for the American duo.
American High School,"American High School (Fremont, California)",0,
Mrs Doubtfire 2,Mrs. Doubtfire 2,0,proper punctuation
Rainbow Six (computer game),Rainbow Six,0,"This is an overview of the entire team and its spinoffs, not specifically the games."
SBC (1984-2005),SBC Communications,0,history merge
Computer program analysis,Program analysis (computer science),0,"Nobody I know who works in program analysis calls it ""computer program analysis"".  It seems preferable to use the term used by practitioners, at the expense of a longer title."
Yoshimitsu (video games),Yoshimitsu (Namco),0,He only appeared in Namco games.
IQue Ltd,IQue Ltd.,0,
Gold Coast City Council,"Gold Coast City Council, Queensland",0,"naming standardisation.  Furthermore, also to reduce confusion with other Gold Coasts"
Ecclesall Road (Sheffield),Ecclesall Road,0,see [[talk:Ecclesall Road (Sheffield)]]
Popular Orthodox Rally,Popular Rally,0,name has since changed
L.A.W.,Live-action wargame,0,
Sheikh Abbdullah Ramadan,Sheikh Abdullah Ramadan,0,wrong name
Medical assistant (MA),Medical Assistant (MA),0,the proper title has capitilized A.
Snake River Canyon,Snake River Canyon (Wyoming),0,Snake River Canyon should be a disambig
J.D. Souther,J. D. Souther,0,WP:RM and WP:NC
Bootleg RPGs,Bootleg role-playing games,0,expand RPG
The Mullets (Television Show),The Mullets (TV series),0,TV naming convention
Hurricane Alberto,Hurricane Alberto (disambiguation),0,Proper disambiguation title
Baptism wth the Holy Spirit,Baptism with the Holy Spirit,0,spelling error
Final Destination Books,Final Destination books,0,Naming convention
El Conde del Guácharo,Benjamin Rausseo,0,"""El Conde el Guácharo"" is just his stage name."
The Sandman (DC Comics Silver Age),Sandman (DC Comics Silver Age),0,per [[WP:NC]]
Clostermann,Closterman,0,
E.T. (video game),E.T. (game),0,Merging histories.
Dušan of Serbia,Dushan of Serbia,0,
Yumbe,Yumbe District,0,
National Hero of Yugoslavia,People's Hero of Yugoslavia,0,"moved back to the original title, it reflects the communist phraseology much better"
Malaba,Malaba (disambiguation),0,only one of the three articles are created
Jim McCarty,Jim McCarty (guitarist),0,"Most wikilinks actually refer to another Jim McCarty, the drummer with [[The Yardbirds]]."
Robert Jones,Robert Jones (composer),0,There are lots of Robert Joneses; will change redirect into disambie shortly
Cactus (rock band),Cactus (band),0,"Fixed name to reflect wikipedia standards, there is no need for the rock distinction because there is no other non-rock popular band named cactus."
Midge (Insect),Midge (insect),0,uncap
Hybrid (comics),Hybrid (DC Comics),0,There are two Marvel Comics characters named Hybrid.
Intercity Express (CityTrain),InterCity Express (CityTrain),0,capitals ('I'nter'C'ity 'E'xpress).
Bob De Moor,Bob de Moor,0,make the title match the usage in the article
Kevin Bokelmann,Kevin,0,This is associated with Saint Kevin. Kevin Bokelmann is a different person.
List of Notable University of Pittsburgh people,List of notable University of Pittsburgh people,0,Capitalization. (sorry)
Kintetsu Corporation,Kintetsu,0,[[Wikipedia:Naming conventions (companies)]]
FHM-US's 100 Sexiest Women 2006,FHM-U.S.'s 100 Sexiest Women 2006,0,US -> U.S. per MoS#Acronyms & abbreviations
FHM-US's 100 Sexiest Women 2005,FHM-U.S.'s 100 Sexiest Women 2005,0,US -> U.S. per MoS#Acronyms and abbreviations
FHM-US's 100 Sexiest Women 2004,FHM-U.S.'s 100 Sexiest Women 2004,0,US -> U.S. per MoS#Acronyms and abbreviations
Singapore Press Holdings Limited,Singapore Press Holdings,0,[[Wikipedia:Naming conventions (companies)]]
Cringe humor,Cringe comedy,0,Using standard name 'comedy' instead of 'humor'
Prince Michael of Yugoslavia,Prince Michael of Yugoslavia (b. 1985),0,
Achintya Bheda-Bheda,Achintya Bheda-Abheda,0,Wrong name (see talk and even the page itself)
Bones soundtrack,Bones houndtrack,0,"On original cover title is indiciated as ""houndtrack"". Obvious wordplay and official too."
Tackle (American football),Tackle (American football position),0,To avoid confusion with the American football section of the article describing tackling rules
Pinktoe tarantula,Pinktoe Tarantula,0,added caps to tarantula
RYOUJOKU NO AME (凌辱の雨),RYOUJOKU NO AME,0,Characters may not show up in some cases.
Battle of Kabul,"Battle of Kabul, First Anglo-Afghan War",0,There's been quite a few Battle's for Kabul. This is more appropriate
Ho Dynasty,Hồ Dynasty,0,
LIBERTY FORUM,Liberty Forum,0,capital
Matthew Baker,Matt Baker (television),0,"He isn't known as Matthew, he's known as Matt."
Nick Joaquin,Nick Joaquín,0,
Kapurthala district,Kapurthala District,0,harmonize
La Solidaridad,La solidaridad,0,according to http://buscon.rae.es/dpdI/
Fernando Lopez,Fernando López,0,
Gloria Diaz,Gloria Díaz,0,
"All Saints Church, Narborough, LEICESTER","All Saints Church, Narborough",0,Capitalisation unnessesary
Second enemy offensive,Second anti-partisan offensive,0,used a less partisan term (heh)
Third enemy offensive,Third anti-partisan offensive,0,used a less partisan name (heh)
First enemy offensive,First anti-partisan offensive,0,used a less partisan name (heh)
Accession of the former Yugoslav Republic of Macedonia to the European Union,Accession of the Republic of Macedonia to the European Union,0,former title is too long
RES,Res (disambiguation),0,"Better to havve this here, it has about as many lowercase as uppercase manings on it."
Earth 691,Earth-691,0,new name is consistent with other articles of similar type (Marvel comics continuities)
Waikiki,Waikīkī,0,[[Category:Use English|Hawaiian English]]
Sciara flies,Sciara,0,genus name; needs no modifier
Benjamin Cohen (internet),Benjamin Cohen,0,moving over copy-and-paste
Leo Oracion,Leo Oración,0,
Mi Último Adiós,Mi último adiós,0,according to http://buscon.rae.es/dpdI/
Fred Thelonius Baker,Fred Thelonious Baker,0,Name not spelled correctly
KOOD-TV,KOOD,0,FCC-assigned callsign is KOOD
Université de Montréal,University of Montreal,0,English Wikipedia
Chlorhexidine Gluconate,Chlorhexidine gluconate,0,caps
Allan a Martin Public School,Allan A. Martin Public School,0,"A in this case is a middle initial, not an article"
Mu-tig btsan-po,Mutik Tsenpo,0,"phonetic spelling
"
Sears,"Sears, Roebuck and Company",0,merging page history
Robert Healy,Robert Healy (commissioner),0,disambig
"Sort, Catalonia","Sort, Lleida",0,normal dab syntax for catalan towns
The Night The Light Went On (In Long Beach),The Night the Light Went on (in Long Beach),0,naming conventions
Armatoles,Armatoli,0,Armatoles? What's Armatoles?
AlAhram Canadian University (ACU),Al-Ahram Canadian University,0,
Global EAN Party Information Register,Global Electronic Party Information Register,0,formal name change
Byte-code,Bytecode,0,per discussion on talk page; old edit history of Bytecode is at [[Talk:Bytecode/old
Peel Region Highway 50,Peel Regional Road 50,0,actual name
The Battle of Sark,Battle of Sark,0,standard battle naming
George and Davis' Ice Cream Cafe,G&D's Ice Cream Cafe,0,"Refers to both cafes, matches the name given at http://www.gdcafe.com/, and is closer to the common vernacular."
"""pro theme""",Pro theme,0,[[WP:NAME]] vio
Contra,Contra (disambiguation),0,disambiguation page
ArcelorMittal,Arcelor Mittal,0,
The Outpost (Novel),The Outpost (Mike Resnick.novel),0,standardise disambig title element
Counelor (disambiguation),Counselor (disambiguation),0,Typo
KUVU,KUVU-LP,0,FCC-assigned callsign is KUVU-LP
Keppel Enderby,Kep Enderby,0,
University of Guelph-Humber/Temp,University of Guelph-Humber,0,"Replace copyvio
"
Bures,Bures (United Kingdom),0,dab
Psion,Psion PLC,0,G6
Universidade Católica Portuguesa,Portuguese Catholic University,0,translation
