article,first main,first talk
"Christian Iutzi Farm (Butler County, Ohio)",20091118230228,20070722193911
"Hunting Lodge Farm (Butler County, Ohio)",20091118230232,20070722193821
"Hughes School (Butler County, Ohio)",20091118230237,20070722193731
"Hughes Manor (Butler County, Ohio)",20091118230242,20070722193641
"Oxford Female Institute (Oxford, Ohio)",20091118230450,20070722195009
"Morgan-Hueston House (Fairfield, Ohio)",20091118230504,20070722194825
"Mill Office and Post Office (Woodsdale, Ohio)",20091118230521,20070722194735
"Henry Maltby House (Oxford, Ohio)",20091118230525,20070722194412
"Peter Schrock Jr. Farm (Butler County, Ohio)",20091118230657,20070722195649
"Rentschler House (Hamilton, Ohio)",20091118230840,20070722195239
"John Scott Barn and Granary (Butler County, Ohio)",20091118230848,20070722195739
"St. Stephen Church and Rectory (Hamilton, Ohio)",20091118231354,20070722200150
"Unzicker-Cook House (Butler County, Ohio)",20091118231431,20070722200601
"Symmes Mission Chapel (Fairfield, Ohio)",20091118231440,20070722200240
"Thomas Select School (Shandon, Ohio)",20091118231443,20070722200330
"John Vaughan House (Butler County, Ohio)",20091118231448,20070722200651
William Doerner (professor),20091118232830,20070430080917
"Lyman Allen House and Barn (Fairfield County, Ohio)",20091119053116,20070723014132
"John Artz Farmhouse (Fairfield County, Ohio)",20091119053134,20070723112202
"Anderson Brothers Department Store (Portsmouth, Ohio)",20091119063943,20070723015003
"Acton House (Eaton, Ohio)",20091119064243,20070722235028
Wiki hosting service,20091018215550,20020531003905
"Bagby-Hossler House (Tiffin, Ohio)",20091119161227,20070723165710
"Bailey-Thompson House (Georgetown, Ohio)",20091119175724,20070723170153
"African Jackson Cemetery (Piqua, Ohio)",20091119181135,20070723012058
Cecilia Dougherty (filmmaker),20091119193026,20051030184033
Harry Doyle (politician),20091119193455,20090531193154
Harry Duggan (footballer),20091119221838,20080514190255
Jeff Edwards (author),20091120004747,20070417012928
"Vaisala, Samoa",20091120035133,20080111053954
Simulation videogame,20091120043601,20050807094407
Aria Noelle Curzon,20091120133640,20091018201852
Plant City Police Department (Florida),20091120134859,20071021235645
Miramar Police Department (Florida),20091120135250,20071001094238
Tallahassee Police Department (Florida),20091120135433,20061222140249
Tampa Police Department (Florida),20091120135447,20060406104103
Terminal stria,20091121031850,20060324022110
Comics studies,20091121035329,20091116200930
Replay (I.Y.A.Z. song),20091121070637,20091006221203
Thomas Blackburn (disambiguation),20091121131931,20070903173421
Ctenophora (phylum),20091121153952,20051120203236
People's Democracy Party,20091121212053,20081127152942
Ctenophore,20091121232154,20091119124909
List of minor planets/2301–2400,20091122014903,20080904082150
Commune (intentional community),20091122044311,20051229075529
Greg Pikitis (Parks and Recreation),20091122065900,20091104053325
Substituted amphetamines,20091122093443,20070407015720
Practice Date (Parks and Recreation),20091122121219,20091024041534
Hurwitz's theorem (composition algebras),20091122172020,20090613091045
AFL-CIO Credit Union,20091123010407,20091116032613
Kush (film),20091123073643,20091121014532
Bill Barker (disambiguation),20091123150350,20091121110850
SuperFabric,20091123152507,20091110170117
The Wicker Tree,20091123175400,20090812005014
Sword of Aragon,20091123192404,20080520141617
Squirt (disambiguation),20091123193242,20080426001307
Zuleika (disambiguation),20091123193247,20081202063309
Summit School (disambiguation),20091123193254,20091122191504
Iskar (disambiguation),20091123203648,20090612030856
Secret Code (Aya Kamiki album),20091123211931,20090819084020
Age wave,20091124013023,20090827212301
Jiangnanese people,20091124051743,20090629003536
Serpent Men,20091124150825,20060622204648
Vigilance (album),20091124163939,20090716202024
Beyond the Break (TV series),20091124190351,20060619040818
Julius Fučík (disambiguation),20091124191624,20081123145618
National Islamic Movement of Afghanistan,20091125081407,20070203142905
Dave Weigel,20091125163835,20091111052645
Edge-preserving smoothing,20091126000517,20090104173450
Seminary of quebec,20091126080340,20091125031824
Closer to Heaven (film),20091111123724,20091109215128
Rujuta Diwekar,20091126123109,20080402113539
Child pornography,20070528220921,20011022124327
Evolution and Development,20091126165151,20090826123833
Focke-Wulf Ta-183,20091126215154,20061031140059
Ken Gordon (Trinidad),20091126215309,20090314014352
Henry Joseph Grimmelsman,20091126101435,20080406015022
Julius König,20091127132644,20070722135647
Lynx Aviation (United States),20091127164424,20071030194604
Canada–Greece relations,20091127171052,20080307210956
British journal of mathematical and statistical psychology,20091127172637,20090910051110
Minnesota West Community & Technical College,20091127184741,20060429104141
William E. White,20091128012811,20080325030041
Adyar River,20091128022910,20050802170020
Pamela Gordon (model),20091128164035,20060729045746
Lloyd Daniels (singer),20091128165124,20091127162051
Terminator II (1991 film),20091129053552,20091107223734
John Rock (American scientist),20091129171243,20060513143703
Inner space,20091129180433,20070724182434
David Griffin (disambiguation),20091129233159,20080620202412
Queen of Fiji,20091130084519,20071010221947
Tui Viti,20091130084833,20060117092321
Alahly (Tripoli),20091130123540,20060630183013
Harvey Swados,20091130160031,20081006220711
Raas (disambiguation),20091130160549,20080823005231
Austen Hudson (Hull politician),20091130175112,20070414171709
Makowiec (disambiguation),20091130185128,20081125233528
Cross River (disambiguation),20091130215618,20080430160023
Tamarasheni,20091201004801,20070401130157
Xuanzang (Mythology),20091201092140,20030702042731
Jeremy Glick (airline passenger),20091201124601,20080402143131
Arthur William Hill (botanist),20091201193721,20081229011205
Dusty Hughes (disambiguation),20091201202926,20080620035552
William Evelyn (disambiguation),20091202123413,20091121134937
Grønland (Street),20091202152422,20070715163518
Sylvain Komenan,20091202163217,20091127185321
Ben Kirk,20091203010846,20071019053631
Thomas Dale Stewart (physicist),20091203055321,20081203165750
"Walter D. Kelley, Jr.",20091203064016,20070822024911
2008 occupation of ʻIolani Palace,20091203080637,20091112081840
Sanchih UFO Houses,20091203092855,20091128080551
"Chiaotou, Kaohsiung",20091203093234,20080116134539
"Cishan, Kaohsiung",20091203093320,20060928174928
Ya'akov Cohen (rabbi),20091203151727,20091027201412
Francis Joseph (disambiguation),20091203171415,20080619044233
Immersion (album),20091203181123,20091201224637
Alexander Martin Sullivan (Irish politician),20091203191601,20060917143418
Angus Sutherland (disambiguation),20091203191651,20090726131608
ABE,20091204034755,20061023193340
Roncal (cheese),20091204084007,20080527081937
Majorero (cheese),20091204084222,20091110211450
Journal of Corporation Law,20091204094944,20090910061258
Alien Breed 2004,20091204205724,20090203224511
WWA Women's Championship (Mexico),20091204211514,20090331162827
Steve Carlson (ice hockey),20091205001517,20060823081239
Growing Up (disambiguation),20091205013839,20080912195020
Danforth Avenue (Hudson County),20091205022723,20090815233038
Government of the United Kingdom,20091024195447,20060411180439
Laurie Smith (sheriff),20091206012945,20090907160327
Alvin,20091206040815,20081116031930
Forecastle (festival),20091206171953,20091204192759
Bessie Cursons (singer),20091130191816,20090907002929
Urinal (disambiguation),20091206222211,20091202005647
MPH Bookstores,20091206232400,20071208032633
Edward Harrington (disambiguation),20091206235635,20091106194613
William Westall (artist),20091207051922,20070728035427
Shtill',20091207134108,20091012165138
United Football League (disambiguation),20091207151434,20081130200608
Serpentine (disambiguation),20091207151441,20081128224020
It's All Over,20091207163139,20090527182946
Karak Expressway,20091207201238,20071107105410
Kayak Expressway,20091207201333,20080413204110
Mt. Zion Methodist Church,20091208011049,20091114205708
Robert Graham (musician),20091208151202,20091122213234
Afghanistan–Pakistan,20091209070209,20091201141515
Feline cutaneous asthenia,20091209144717,20080505000243
Coat of arms of Indonesia,20091209214042,20060812062711
Dharam Vir Mangla,20091209234850,20061102235853
2010 Konica Minolta Gator Bowl,20091210044458,20091207231718
Charles Fryatt,20091210062524,20070429224625
Mutualism,20091210140520,20091204164847
Gas bladder,20091210143022,20030924164121
Alcachofa,20091210142845,20070306103831
TREAMIS World School,20070709052539,20070430225616
Prohibition in Iceland,20091211141135,20090203065930
Andrei Petrov,20091211152520,20071219211346
Andrzej Nowak (psychologist),20091211173538,20091209213735
Bob Benoit (horse racing),20091211180348,20091203073526
"Vahi, Estonia",20091212001407,20070330225634
Controversies surrounding Call of Duty: Modern Warfare 2,20091212015829,20091210081012
History of rail transport in Turkey,20091212115439,20091120180809
The Seabourn Spirit,20091212162335,20060416005703
David Brewer (disambiguation),20091213021304,20081119073149
The Divine Comedy,20091213095809,20071218131053
Ali Naqvi,20091213145248,20060806090154
Ceredigion (magazine),20091213181317,20090910051849
John McLean (American football),20091213223514,20080103170455
List of members of the Forbes 400,20091214030835,20081101201021
Indian animation,20091214092652,20090928152755
"Oak Hills High School (Green Township, Hamilton County, Ohio)",20091214171510,20051102142817
SEC (disambiguation),20091214183113,20080122023308
Steve Morrison (disambiguation),20091214183313,20081129142731
Paz (disambiguation),20091214183643,20070909091929
Morningside Park (disambiguation),20091214184222,20081126154034
Minority (disambiguation),20091214184359,20081017004446
Mame (disambiguation),20091214184531,20081126000021
Interference (disambiguation),20091214185218,20081123005528
Fascicle (disambiguation),20091214185233,20091209112705
Community Displacement in Philadelphia,20091214191302,20080502230400
The Headless Woman (1947 film),20091214213504,20091207181534
Billboard Year-End Hot 100 singles of 2009,20091212040648,20090101233102
Hebron massacres,20071129232711,20051210100358
Corcovado volcano,20091215023801,20070228050621
Shock Value 2,20091215124543,20081010045640
Wavestar,20091215130721,20060531150611
Volusianus (L. Petronius Taurus),20091215142855,20090106032158
Kisii County,20091213160359,20090505202322
James Dalton (disambiguation),20091215165745,20080701235711
TalkTalk (telecommunications company),20091215211348,20071126205619
Tomas Burgos,20091215225545,20070811212512
Alerce,20091215231111,20080109225304
Emerging Springboks national rugby union team,20091216000142,20091110011858
Paul Marshall (financier),20091216104700,20090317073832
Francisco Hernández,20091216154118,20070201000142
Nishikant Kamat,20091217090125,20080117110530
"Gilbert de Clare, 8th Earl of Hertford",20091217130105,20061223234729
Laura Thompson (journalist),20091217181738,20080912105022
Pashai,20091217205416,20070203194839
Fred Mills,20091217225821,20091213201451
Disneyland Resort Paris,20091218165110,20040813052630
Ika Omkara,20091218195400,20050130022900
SuperValue,20091218203240,20080218053425
Skoda Rapid,20091218210055,20090622162321
Government of Slovenia,20091219103853,20090522190910
Marv (disambiguation),20091219135715,20081126024911
James Richardson (sociologist),20091219144603,20070704201829
Mathematical formalism of gauge theory,20091219150024,20090809003430
Danny Tarkanian,20091219194155,20090920192327
Noncommutative algebraic geometry,20091219205552,20091010021825
John William King (cricketer),20091220002421,20080825093727
Ghost Game (film),20091220124304,20070112153222
The Beast (1974 film),20091220141538,20091108183830
Makano (singer),20091220143603,20090519204252
Aves,20010810202119,20010519132111
Heaven's in Here,20091221082301,20060809150355
Pulse code modulation,20091221141421,20011128233513
David Pearson (disambiguation),20091221150500,20081019122315
Forest Hill (disambiguation),20091221150502,20081121044638
The U,20091221170508,20061220223309
Harry Lambert (sportsman),20091221195815,20081212120206
John Lalor (journalist),20091221200233,20080511184956
Ashley Kumar,20091221212939,20090213215544
List of The Game characters,20091222000456,20091219035306
Jamesonia,20091222010939,20090109171117
Quantum KZ equations,20091222160509,20090523020549
Durant Robertson,20091222165212,20091122160049
"Corpus Christi Catholic High School, Oak Flats NSW",20091222173407,20080927131142
Tayabas,20091223010532,20090829092038
Thomas Joseph Kelly,20091223014116,20080904151349
Isabelline (colour),20091223085959,20070303083242
Griffith High School,20090224064353,20070429205604
Fußball-Bundesliga 1966–67,20091224021555,20080804171859
Thomas Lane (disambiguation),20091224030818,20090527160723
2008–2009 United States network television schedule,20091224114939,20080211213336
MS Stena Adventurer,20091224223501,20090918022408
Carl August Ehrensvärd (1858-1944),20091225003009,20071220060247
"François, duc de La Rochefoucauld (1765-1848)",20091225003621,20090304222319
Geoffrey Clifton-Brown (1899-1983),20091225003658,20091120181029
György Majláth (1786-1861),20091225003821,20081217121633
György Majláth (1818-1883),20091225003825,20081216135034
Zygmunt Grudziński (1870-1929),20091225004216,20070805181555
Honoré d'Albert (1581-1649),20091225004253,20090119162539
Jean-François Roger (1776-1842),20091225004439,20090521145419
Louis Phélypeaux (1598-1681),20091225005241,20091010161238
Louis Phélypeaux (1643-1727),20091225005245,20091010160717
Louis Phélypeaux (1672-1725),20091225005248,20091010161449
Louis Phélypeaux (1705-1777),20091225005251,20091010160959
Marc-René de Voyer de Paulmy d'Argenson (1623-1700),20091225005308,20090114000759
Marc-René de Voyer de Paulmy d'Argenson (1652-1721),20091225005312,20070107043757
Marko Mesić (1640-1713),20091225005417,20090113223147
Mission de Phénicie (1865-1874),20091225005442,20081121071702
Rafał Leszczyński (1526-1592),20091225005835,20070724193012
Róża Potocka (1780-1862),20091225005953,20070411195134
Róża Potocka (1849-1937),20091225005956,20070411195141
Scévole de Sainte-Marthe (1536-1623),20091225010021,20090521145533
Scévole de Sainte-Marthe (1571-1650),20091225010025,20090521145528
Shō Jun (1660-1706),20091225010049,20090103201422
Shō Jun (1873-1945),20091225010053,20090103212443
Siamese-Vietnamese War (1831-1834),20091225010056,20091009021134
Siamese-Vietnamese War (1841-1845),20091225010100,20091009021147
Singl ploče (1974-1975),20091225010110,20090806063107
Singl ploče (1976-1980),20091225010113,20090806063123
Stanisław Krasiński (1558-1617),20091225010149,20060302023309
Stanisław Krasiński (1585-1649),20091225010152,20090606050919
Ulrik Christian Gyldenløve (1630-1658),20091225010316,20090120103616
Władysław Michejda (1876-1937),20091225010536,20080708105952
"Várzea Grande, Mato Grosso",20091225023029,20080512233126
"Hong Kong, China at the 2008 Summer Olympics",20091225071242,20080726193929
List of bishops of Winchester,20091225133754,20070802090029
List of Bishops of Durham,20091225134513,20090104214952
List of bishops of Chichester and precursor offices,20091225134748,20080926211250
List of bishops of Lincoln and precursor offices,20091225140049,20080703184711
Amanat Ali,20091225140054,20070716032412
List of Bishops of Worcester,20091225140502,20081229221835
List of bishops of Salisbury,20091225143425,20061214071109
List of bishops of Ely,20091225144214,20070726191229
List of Bishops of Hereford,20091225144513,20070720063505
List of Archbishops of York,20091225145040,20070225213423
List of Bishops of Leicester,20091225145756,20090104215006
List of bishops of Rochester,20091225150158,20090104215027
List of bishops of Gloucester,20091225150531,20080228231053
List of bishops of Peterborough,20091225151013,20090312073959
Valentine Browne (disambiguation),20091225154422,20080627050939
Black Oak (disambiguation),20091225174515,20081117093913
Schtiel,20091225183714,20060809210949
Poincaré–Steklov operator,20091226071300,20091221150232
Sobranie (cigarette),20091226114527,20070210060925
Michael K. Young,20091226144040,20060816013424
Barbara Buchholz,20091226145400,20091101215230
"Sandy Bay, Manitoba",20091226191427,20080611180115
Dronabinol,20091226215248,20050923144607
Dinajpur district,20091227072720,20061221170443
England Saxons national rugby union team,20091227085253,20090403203132
Rensi-Hamilton Racing,20091227104030,20060304162509
Rifleman's Assault Weapon,20091227120210,20091226073803
Gorontalo (regency),20091227181143,20081010092033
Bone Bolango,20091227184624,20081010092902
Abdulfarouk Umar Muttalab,20091227221412,20091226203235
Regional postage stamps of Great Britain,20091228034426,20071217232042
Mindscape (software publisher),20091228061929,20050830003337
El mar no cesa,20091228130911,20070316154001
Ruatangi Vatuvei,20091228155836,20060620072010
Frunzenskaya (Metro),20091228161539,20080601073507
City University of Hong Kong,20091228181641,20060914045100
Ate (disambiguation),20091228182952,20081116233841
Bodley (disambiguation),20091228182955,20081117120128
Drukpa (disambiguation),20091228182959,20080926040712
The open source movement,20091228202222,20091128225912
Little Brother (disambiguation),20091228211144,20081125081126
Mati (disambiguation),20091228211302,20081126034532
On and On (disambiguation),20091228211422,20081127082002
Tabuk (disambiguation),20091228212316,20091226224121
Michael J. Graham,20091229010213,20081107024635
Yir-Yoront,20091229065940,20080321165230
Raver (disambiguation),20091229084405,20081128035139
Turks,20020317180421,20011109195909
Neurocomputing (Journal),20091229120254,20091221155311
Mustafa Hajj Abdinur,20091229153030,20091203223245
SNORA and SURA-D rockets,20091230112038,20091228105611
Lonesome Sundown,20091230114507,20091130025713
The Real Estate Roundtable,20091230151339,20070528060648
Henry Gale (disambiguation),20091230195356,20080623034724
Albert Lee Giddens,20091231195653,20091116155441
Æbbe the Elder,20091231201009,20060721195615
M576 40 mm grenade,20091231215110,20061007160048
Vir Singh,20100101010826,20070907163028
Bedlam,20100101052530,20031120075414
No. 107 Squadron RAF,20100101121911,20091215051041
Emily West Morgan,20100101144313,20060325194027
Brights movement/Archive 1,20100101183810,20081024231017
Ribodon,20100101194126,20090304211038
Czarcia Góra,20100101203622,20090524181022
Blame it on My Youth,20100102062038,20091119062611
Jason Derulo (album),20100102063601,20091129235304
George Gershwin Theatre,20100102082630,20091120155541
Ernst Sejersted Selmer,20100102121829,20070330011306
Lakes of Muskoka Cottage Brewery,20100102205532,20050814024114
Himiko (queen),20100102225236,20060928022620
WKOP-TV,20100103000128,20060922231539
42nd (East Lancashire) Division,20100103001836,20080520145623
Q'orianka Kilcher (actress),20100103032842,20060120042325
Vandiemenia ratkowskiana,20100103041056,20070824040704
Daichi (given name),20100103095903,20060923212647
"Antoine Philippe, Duke of Montpensier",20100103133328,20090113120100
Noshad Alamian,20100103143817,20090122104548
Moroni (prophet),20100104113534,20090520115739
Beneficence (disambiguation),20100104150246,20081117062900
Colophon (disambiguation),20100104152936,20081118184438
Mukti,20100104152948,20090101022200
Piedras Blancas Light Station,20100104155422,20061022210748
Le Cygne (Saint-Saëns),20100104235358,20060309182836
Grissom,20100105004216,20081121181615
Vatican (disambiguation),20100105023128,20081130230133
Grisham (disambiguation),20100105023500,20080326174828
ECB (disambiguation),20100105023628,20080407180955
Eleanor of England (disambiguation),20100105023704,20071221194049
Enemy Mine (disambiguation),20100105023746,20090929180316
Joint FAO/WHO Expert Committee on Food Additives,20100105052934,20071212130345
Telekinesis,20030325103930,20010321234739
Avaz,20100105223608,20070514185314
Oraine Simpson,20100106011300,20091014195957
Don Partridge,20100105231226,20070303171323
Gresham,20100106051923,20081121175444
Saraiki people,20100106090623,20061122145137
Milan Lučić,20100106161241,20070417214637
Mönkh Saridag,20100107010418,20090403025443
Useless,20100107130758,20090106211749
Boalt Hall,20100107132220,20090714181355
Whistlin' Alex Moore,20100107150153,20091202032507
Gore Effect,20091230102746,20070325033935
Big Joe Duskin,20100107170544,20091128071902
Mabuhay (expression),20100107201412,20080604091436
Henry Glover,20100107202222,20081125173506
Campbellton Tigers,20100107205156,20060622205749
WEGO,20100107234222,20070114063150
Růžena Maturová,20100108060107,20090926204041
Ignazio Marini,20100108064943,20090925115703
EGovernment in Europe,20100108170526,20091207171524
Prins van Oranje class minelayer,20100108212746,20080407012308
Lois Long (columnist),20100108213413,20080927125318
Younus College of Engineering and Technology,20100108213957,20090612103005
Kholm (disambiguation),20100108215618,20081124024546
Larry Davis (blues musician),20100108230819,20091226164218
Indian Skimmer (bird),20100109152035,20071010064421
Gary B.B. Coleman,20100109154154,20091228152139
U.P. Wilson,20100109194644,20091226191517
James Harman,20100109214002,20091202181948
Vic Coppersmith-Heaven,20100109235059,20090531172758
North German plain,20100110062007,20080627063029
"Francis Seymour, 1st Baronet",20100110064918,20081215164649
John M. Schiff Scout Reservation,20100110070759,20060206171108
2009–2010 flu pandemic in Europe,20100110070812,20090608195328
M I Shanavas,20100110093717,20090907170312
Haralabos Yiannopoulos,20100110134051,20080919063302
Buster Benton,20100110140251,20091203034638
Twenty Five Years of Dr. Feelgood,20100110151424,20090805071635
Sarah Jane Mee,20100110155403,20060822201917
2010 African Cup of Nations,20100110192720,20070920134451
2007-08 Serie A,20100110202928,20070610173225
The Ivy League (band),20100110203344,20071218030018
Tana Ramsay,20100110225355,20080104135824
"King, Waupaca County, Wisconsin",20100111043947,20100110042047
Bill Kaulitz,20100111045346,20080920104912
Buff,20100111061248,20060317045441
Yiannis Bourousis,20100111092018,20070330215324
Giannis Kalambokis,20100111092407,20080713182247
"Kempinski Hotel Corvinus, Budapest",20100111114310,20081218111138
Trevor McCallum (soccer),20100111120927,20060918123945
Jean Baptiste Joseph Fourier,20100111151833,20050804215354
Boxer crab,20100111183305,20091127203128
En garde,20100112000219,20060506233109
Gary Clail,20100112010227,20080918140024
107P/Wilson–Harrington,20100112063040,20080707131102
133P/Elst–Pizarro,20100112063132,20080714084151
Theory of evolution,20011103015540,20010307031137
Madeira Interactive Technologies Institute,20100112101134,20100103162252
Tarka L'Herpiniere,20100112111605,20100106205328
Sport,20011105063011,20011002201207
"Union Hill, New Jersey (Hudson County)",20100112152349,20080706060751
Zhang Han (general),20100112154715,20071118204042
Fatboy Chubb,20100112155253,20091126152231
Egil Hylleraas,20100112200851,20091225195705
The Last Lion: Winston Spencer Churchill,20100113011814,20090809065808
Dana Cameron (author),20100113072515,20090311062602
Samuel Hoare (disambiguation),20100113183343,20091201190503
White Gold (disambiguation),20100113204207,20081201075342
Scruples (disambiguation),20100113204534,20080621030452
Robert Spencer (disambiguation),20100113204930,20080616201007
Manius Acilius Glabrio (disambiguation),20100113205458,20081126002709
Lee Sheppard (disambiguation),20100113205734,20100104195028
Law of nature (disambiguation),20100113205908,20050805005154
La Femme (disambiguation),20100113205954,20100109171631
John Strohm (disambiguation),20100113210203,20100106054310
FIRST Racing,20100114120845,20061108223659
List of nuclear power plants of Europe and CIS,20100114124831,20070517175130
Public Safety Answering Point,20100114130228,20080721194710
Bakary Soumare,20100114165105,20070303001138
Meineweh,20100114180454,20080904102949
Little Mack Simmons,20100114211345,20091225200949
List of recurring Wangan Midnight characters,20100114225246,20060627073531
WIND Mobile,20100115003234,20091217215133
José Jonathan Piña Gutiérrez,20100115054635,20080622151933
Parliament of the Islamic Republic of Iran,20100115094306,20050409204004
The Olympic Runners,20100115121235,20091022184853
May Hariri,20070930211532,20060815014639
Northeast District (Botswana),20100115152810,20080124173951
"Northeastern Province, Sri Lanka",20100115153504,20070726205052
Northeastern Province (Kenya),20100115153917,20060313130322
"Northeast Region, Singapore",20100115154049,20061121143229
Barad (band),20100115161442,20071105034229
Moynet M 360 Jupiter,20100115195545,20100108185547
Costa Rican Primera División,20100115214931,20070201174328
Michael J. Benton,20100116032327,20060816012522
Jinricksha Station,20100116173543,20060118045535
Grado (disambiguation),20100116202501,20050618202552
Ricky Wong (Hong Kong businessman),20100117030633,20081208033417
The Ladybirds,20100117212801,20071006114136
Stumpwm,20100117223902,20100113011017
Estadio dla Malata,20100118092848,20091227190546
Bredtveit Prison,20100118122120,20070108134406
Seeds of Change,20100118155616,20090213022618
Hugo (game show),20100118165054,20090618011855
Queen Whydah,20100118172252,20070317022014
Euclid Avenue (disambiguation),20100118173850,20100114160730
Imperial Theater (disambiguation),20100118174222,20081122234257
Camp Letts,20100118205328,20100113205303
Variable Indigobird,20100118205833,20070727225204
Fool (disambiguation),20100118232337,20060715002820
